mean,std
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.80839,0.265556
9,2.79731,0.277522
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77789,0.303251
9,2.77776,0.303165
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77116,0.299265
9,2.77095,0.299377
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7702,0.299769
9,2.7383,0.266018
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
