x11,x12,x21,x22
-0.023219,0.070846,0.968947,-0.054079
-0.021600,0.015215,0.974528,0.103136
0.124997,-0.117319,1.124063,-0.160528
0.110943,-0.016975,1.063266,0.288116
-0.085149,-0.198185,0.901188,-0.033448
0.120213,-0.685134,1.009529,-0.227841
0.006881,-0.048064,1.006429,-0.017998
0.008315,0.307003,0.996885,0.156240
0.000174,0.152873,0.954913,-0.144572
0.046505,0.219238,1.036695,0.079508
-0.049508,-0.163197,0.943774,-0.047478
0.079486,-0.220990,1.064954,-0.051130
0.236714,-0.083968,1.235324,-0.031263
0.206324,-0.447006,1.163913,-0.158868
-0.070686,0.002385,0.895586,-0.255137
-0.024334,0.059850,0.968988,-0.055531
0.017256,0.082947,1.016997,0.060201
0.050052,-0.171189,1.041862,-0.043472
0.064580,0.135538,1.058034,0.021304
-0.104231,-0.276970,0.870416,-0.053222
0.073371,0.094569,1.071215,0.160200
0.025830,0.107075,1.025238,0.141487
-0.066773,0.026450,0.933223,0.023466
0.144231,0.208382,1.121826,-0.002111
-0.186699,0.145521,0.805395,0.020023
0.075271,0.107925,1.073063,0.041511
-0.033225,0.198477,0.925386,-0.086243
0.037539,0.261046,1.036554,0.216678
0.018760,0.220781,0.979655,-0.056133
0.205330,-0.269625,1.167232,0.003772
