x11,x12,x21,x22
0.021061,0.027606,1.006701,-0.141257
-0.135102,-0.035888,0.858201,0.079649
-0.227759,0.232182,0.766849,0.128476
0.112093,0.034481,1.104384,-0.089451
-0.015971,-0.010616,0.983486,0.022322
0.082166,0.150669,1.073627,0.020263
-0.045127,0.095515,0.950379,0.000814
0.018467,0.056721,1.018223,0.078836
0.048906,0.052308,1.042246,0.167521
0.079790,-0.171566,1.071748,-0.044999
-0.028150,-0.033668,0.956803,0.139150
-0.034452,-0.313930,0.881641,0.087036
0.001692,-0.162967,0.949789,0.155014
0.022913,-0.126628,1.008362,0.043347
-0.020780,0.343290,0.964240,0.170854
-0.088176,0.080809,0.910842,0.036495
0.142091,-0.093488,1.142017,-0.081282
-0.052817,0.089602,0.934511,-0.069090
0.009686,0.103114,1.006232,0.020068
-0.019157,0.021368,0.969977,-0.125646
0.036405,-0.066218,1.033167,0.014194
-0.111711,-0.117859,0.886930,-0.065746
0.153858,0.028077,1.147510,-0.084421
-0.167419,0.011435,0.827796,0.109147
-0.070591,0.281714,0.896084,0.025704
0.096421,0.135487,1.084320,-0.019607
0.006809,-0.024508,1.006762,-0.034255
0.050908,0.242589,1.029211,0.035409
-0.115420,0.227134,0.825974,-0.110175
0.008590,0.053406,0.989510,-0.141003
0.197256,-0.115439,1.183383,0.050554
-0.034243,-0.069546,0.964239,-0.014449
0.195029,-0.017861,1.193058,0.044898
-0.055439,-0.005976,0.924861,0.191539
0.142074,-0.160906,1.109662,0.091631
-0.037539,-0.015862,0.955263,-0.135636
0.058565,-0.100695,1.058480,-0.087677
0.224589,0.101331,1.190928,-0.155939
0.024714,0.042649,1.015052,-0.096027
0.018305,0.086862,0.994090,-0.131872
0.023616,0.118858,1.017399,0.007525
0.040644,0.059965,1.037705,-0.016639
-0.125410,0.257049,0.860188,0.087944
-0.122219,0.250443,0.864294,0.086759
-0.174853,-0.022993,0.822267,0.052852
-0.112947,0.026134,0.883463,-0.058531
-0.128936,-0.108350,0.870208,-0.066995
-0.146049,-0.573138,0.642111,0.042333
0.154126,-0.119750,1.139147,0.052685
0.127002,0.166713,1.122913,0.076371
0.049885,0.206287,0.962583,-0.202349
0.089109,0.281748,1.041484,-0.023180
-0.029128,0.154353,0.893554,-0.231209
-0.055998,-0.054733,0.935791,-0.182622
0.126650,-0.006793,1.126111,-0.039617
0.044993,0.448682,0.930801,-0.015370
0.139971,0.011642,1.136058,0.100017
-0.057470,-0.145003,0.913197,0.095425
-0.118985,-0.029746,0.880284,0.008478
-0.132658,-0.156473,0.851938,0.018369
0.101485,-0.247515,1.057046,0.047276
-0.096444,-0.143950,0.893934,-0.005564
-0.196005,0.357388,0.707263,-0.071689
0.112510,-0.062836,1.110706,-0.122874
-0.146454,-0.297586,0.831828,-0.090310
-0.100677,0.121679,0.896632,0.048365
-0.065222,0.198085,0.919549,0.024229
0.155108,0.458042,0.976932,-0.111700
0.018181,0.180414,1.014943,0.100005
-0.026731,-0.277540,0.949135,-0.059169
-0.084346,0.106804,0.914536,0.059539
0.004384,-0.214674,0.988299,-0.036038
0.055022,-0.068248,1.054143,-0.026327
0.024658,-0.273443,0.990918,-0.015873
-0.042678,0.120967,0.953400,0.032487
-0.001052,0.080424,0.988361,0.225554
-0.005558,-0.171656,0.993814,-0.136216
0.092717,-0.009753,1.092379,0.016261
0.075575,0.148195,1.054676,-0.055180
-0.223917,-0.117369,0.776067,-0.122905
0.174194,-0.176960,1.144603,0.064506
0.109469,-0.107000,1.059475,0.205232
-0.084591,0.153750,0.879683,-0.111159
-0.005693,-0.048410,0.975553,0.144348
0.068725,-0.300914,1.028001,-0.018443
-0.069410,-0.231259,0.913155,-0.045341
-0.060175,0.122671,0.924398,-0.052308
0.123462,0.339652,1.108457,0.167069
0.116392,0.156445,1.087534,-0.082060
0.009183,0.105638,1.005185,0.194966
-0.133897,0.061976,0.866103,0.062378
0.068704,0.245413,1.066926,0.185815
-0.014568,-0.333417,0.909042,0.049916
-0.007839,0.253006,0.947158,-0.043609
-0.042083,-0.068786,0.956214,-0.010446
-0.098598,-0.407325,0.848598,-0.086670
0.036484,0.043024,1.035735,0.081709
-0.018835,0.145892,0.979567,0.089375
-0.078302,-0.261800,0.866075,0.067063
0.125818,-0.092532,1.123483,-0.024224
0.021742,-0.005150,1.021707,-0.013463
-0.119068,0.515208,0.692986,-0.068374
-0.098829,0.031784,0.889207,-0.122438
0.195012,-0.072254,1.194985,-0.064874
-0.084554,-0.102678,0.914506,-0.146020
-0.017724,-0.125981,0.979172,-0.047246
0.063405,-0.058981,1.063014,-0.031018
-0.017375,0.210210,0.913915,-0.154069
-0.018829,0.043545,0.924078,-0.289512
0.063813,-0.246989,1.007637,0.083459
-0.051158,0.146643,0.937728,-0.002030
-0.059965,0.257133,0.887592,-0.062453
0.208325,0.170215,1.190840,-0.015969
0.131062,-0.076508,1.130220,-0.035471
-0.079936,0.034663,0.912058,-0.091625
-0.054555,0.041940,0.944572,0.083709
-0.158036,0.009631,0.837486,-0.084900
0.084835,0.066544,1.064052,-0.136270
0.157253,0.339078,1.127008,0.094999
-0.105578,0.116219,0.883005,-0.034455
-0.063239,0.071383,0.935664,0.024558
0.052039,0.027268,1.044350,-0.096503
-0.042175,-0.118599,0.957387,-0.089004
-0.099839,-0.116118,0.899086,-0.162458
0.099182,0.147617,1.057027,-0.139669
-0.004950,0.302965,0.944297,-0.011568
0.061059,0.046328,1.044688,0.226537
0.020516,-0.225610,0.973478,0.077481
