time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.56,Terrain,spikes,0.800067,0.0300873,-0.000505309,1.8307,1.89237,34.2927,1.42368e-20,1.02218e-15,-5.69443e-17
0.56,spikes,plane,0.805351,0.35427,0.0910015,-0.0313605,-0.00192315,-0.68768,-2.2172e-19,-6.98418e-17,-1.20377e-19
0.57,Terrain,spikes,0.800059,0.00363118,-0.00051166,1.67545,1.83117,33.807,-4.15135e-05,-4.14035e-06,0.00412676
0.57,spikes,plane,0.805191,0.393567,0.0913444,-0.012958,-0.0197776,-0.241797,-3.95478e-18,5.03506e-18,-2.97096e-19
0.58,Terrain,spikes,0.800089,0.194457,-0.000314991,2.37949,0.222958,40.2645,0.000960786,-0.000216168,0.217586
0.58,spikes,plane,0.805089,0.382504,0.0913979,-0.0209053,0.0152792,-0.357085,-3.81387e-08,5.294e-11,-3.57916e-08
0.59,Terrain,spikes,0.800088,0.201939,-0.000302201,2.17855,-0.0775084,40.1668,0.00081438,0.000113043,-0.116402
0.59,spikes,plane,0.805072,0.381064,0.0914048,-0.0231923,0.0162544,-0.361565,-6.00244e-18,-3.96631e-18,2.07842e-19
0.6,Terrain,spikes,0.800088,0.200083,-0.000298836,2.29281,0.0280124,40.4043,0.00107569,-4.269e-05,0.0436127
0.6,spikes,plane,0.805117,0.263598,0.0911814,-0.0416285,-0.00471773,-0.60472,-7.05998e-18,1.57588e-17,-6.2774e-19
0.61,Terrain,spikes,0.80009,0.198489,-0.000295414,2.1449,-0.0626729,40.1437,0.000419748,0.000146713,-0.158206
0.61,spikes,plane,0.805221,0.00617236,0.0906909,-0.0272282,-0.0186017,-0.354604,-5.29492e-21,-2.34761e-17,1.22004e-18
0.62,Terrain,spikes,0.920048,0.138785,-0.000236537,-1.211,3.01334,79.7748,0.000728878,-0.000220962,0.238952
0.62,spikes,plane,0.805451,0.010444,0.0907313,-0.0510225,-0.0806399,-0.638948,6.38909e-06,5.87481e-08,-2.46439e-05
0.63,Terrain,spikes,1.19994,1.45687e-05,-0.000110105,-1.85171,1.89613,33.7576,-1.82248e-20,1.34186e-15,-6.23713e-17
0.63,spikes,plane,0.805734,0.00674116,0.0912276,-0.0334461,-0.0470873,-0.265996,1.89933e-19,-9.88434e-20,-5.40747e-21
0.64,Terrain,spikes,1.20003,0.399904,-0.000143162,-3.35887,-3.41336,60.9748,-3.04629e-15,1.47966e-15,-8.87468e-17
0.64,spikes,plane,0.805751,0.00639501,0.0917159,-0.0240034,0.0492167,-0.254655,7.76661e-11,4.2251e-13,-3.25342e-10
