time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.67,Terrain,spikes,1.00028,0.202151,-0.000249455,-0.00266412,-0.0325931,49.5021,1.26543e-05,-2.73843e-06,-1.97141e-05
0.67,spikes,plane,1.00046,0.202279,0.091064,6.78376e-05,0.000747738,-0.489948,2.3022e-06,-2.25625e-06,2.88751e-06
0.68,Terrain,spikes,1.00226,0.200118,-0.000246189,-0.0311089,0.000482284,49.4504,-2.1392e-06,1.02065e-06,1.89625e-05
0.68,spikes,plane,1.00242,0.200248,0.0910754,0.000716953,-7.75151e-06,-0.489461,2.57372e-06,-2.19165e-06,-1.62538e-06
0.69,Terrain,spikes,0.99808,0.200684,-0.000243282,0.0273637,-0.0105175,49.4971,1.23437e-05,-9.52474e-08,-2.28747e-05
0.69,spikes,plane,0.997966,0.20066,0.0910861,-0.000633764,0.000235374,-0.489917,2.39553e-06,-2.34802e-06,6.37015e-07
0.7,Terrain,spikes,1.00062,0.199225,-0.000239959,-0.00911521,0.0105196,49.4879,8.49492e-06,-3.85635e-06,1.16948e-05
0.7,spikes,plane,1.00065,0.199233,0.0910973,0.000207627,-0.000243299,-0.489833,2.4695e-06,-2.12513e-06,3.65394e-07
0.71,Terrain,spikes,0.997672,0.201398,-0.000236775,0.0335328,-0.0196665,49.4029,3.91382e-06,-7.85777e-07,-3.57682e-05
0.71,spikes,plane,0.997668,0.201569,0.091108,-0.000768455,0.000455064,-0.488974,2.20454e-06,-2.17938e-06,-2.57611e-07
0.72,Terrain,spikes,1.00306,0.199827,-0.000233947,-0.0521069,0.0158505,49.5363,7.74865e-07,1.92324e-06,4.74456e-05
0.72,spikes,plane,1.00334,0.199608,0.0911178,0.00120467,-0.00037825,-0.490339,1.91712e-06,-1.74992e-06,1.26704e-06
0.73,Terrain,spikes,0.999657,0.199025,-0.000231786,0.00451543,0.0136382,49.4864,5.57971e-06,-5.62355e-07,6.51334e-06
0.73,spikes,plane,0.999566,0.199111,0.0911264,-0.000110413,-0.000310277,-0.489826,2.32767e-06,-2.14901e-06,1.02335e-06
0.74,Terrain,spikes,0.996926,0.201656,-0.000228828,0.0411022,-0.0210959,49.4663,1.04258e-05,-6.64379e-06,-3.49857e-05
0.74,spikes,plane,0.996615,0.20173,0.0911362,-0.000958311,0.000482151,-0.489647,2.07401e-06,-2.2263e-06,-5.10449e-07
0.75,Terrain,spikes,1.002,0.199608,-0.000225954,-0.0271958,0.00483357,49.5068,1.19648e-05,-5.14245e-06,1.56367e-05
0.75,spikes,plane,1.00219,0.199676,0.0911458,0.000628991,-0.000110142,-0.490044,2.26129e-06,-1.98754e-06,4.04774e-07
0.76,Terrain,spikes,0.998027,0.198356,-0.000223771,0.0287227,0.0228825,49.4754,5.43396e-06,-2.61167e-07,-4.50934e-06
0.76,spikes,plane,0.997917,0.198208,0.0911541,-0.000664885,-0.000534437,-0.489717,2.11638e-06,-2.01835e-06,-2.1874e-06
0.77,Terrain,spikes,1.00366,0.201869,-0.000220331,-0.0518907,-0.024107,49.4623,1.09379e-06,-1.26043e-06,1.68463e-05
0.77,spikes,plane,1.00396,0.202164,0.0911643,0.00120011,0.000563087,-0.489627,2.10904e-06,-1.95041e-06,1.98664e-06
0.78,Terrain,spikes,0.995816,0.201725,-0.000218559,0.0566259,-0.0228814,49.421,3.60167e-06,-9.4711e-07,-4.05559e-05
0.78,spikes,plane,0.995516,0.201832,0.0911715,-0.00131237,0.000524906,-0.489188,2.41644e-06,-2.25692e-06,-4.48864e-07
0.79,Terrain,spikes,1.00045,0.200204,-0.000216104,-0.00707662,-0.00227055,49.4795,1.1522e-06,1.55472e-06,-5.36323e-06
0.79,spikes,plane,1.00066,0.200364,0.0911797,0.000171616,5.68324e-05,-0.489764,2.49126e-06,-1.96269e-06,-3.16389e-07
0.8,Terrain,spikes,1.00207,0.198344,-0.000213986,-0.0285826,0.0235186,49.5685,5.10754e-06,-1.07374e-06,3.22235e-05
0.8,spikes,plane,1.0021,0.198184,0.0911872,0.000652456,-0.00054995,-0.490698,2.08589e-06,-1.40476e-06,-1.23825e-06
0.81,Terrain,spikes,1.00066,0.199998,-0.000211534,-0.00925684,0.000202049,49.4844,3.97826e-06,-6.43691e-07,5.86193e-06
0.81,spikes,plane,1.00079,0.200047,0.0911953,0.000216373,-5.4839e-06,-0.489837,1.98955e-06,-1.42914e-06,-3.20978e-07
0.82,Terrain,spikes,0.998102,0.2026,-0.000209105,0.0257828,-0.0356182,49.4024,8.94118e-07,7.82243e-07,-3.14003e-05
0.82,spikes,plane,0.99797,0.202918,0.0912031,-0.000598604,0.000827759,-0.489031,1.82535e-06,-1.60618e-06,-5.82352e-07
0.83,Terrain,spikes,1.00182,0.199183,-0.000207271,-0.0256177,0.0129103,49.5277,1.77755e-06,-2.22686e-06,1.98021e-05
0.83,spikes,plane,1.002,0.199066,0.0912098,0.000592963,-0.000305379,-0.490292,1.94295e-06,-1.31598e-06,-5.0917e-07
0.84,Terrain,spikes,0.998373,0.19803,-0.000205669,0.022581,0.0275754,49.522,1.3291e-06,-9.78878e-07,-3.59603e-07
0.84,spikes,plane,0.998233,0.197892,0.0912159,-0.000526101,-0.000641258,-0.490214,1.89696e-06,-1.38396e-06,-1.085e-07
0.85,Terrain,spikes,0.999958,0.198878,-0.00020346,0.00122961,0.0160711,49.4871,3.93707e-06,-3.92226e-07,4.84427e-06
0.85,spikes,plane,0.999936,0.198758,0.091223,-3.16322e-05,-0.000377495,-0.489889,1.78324e-06,-1.24935e-06,-8.46575e-07
0.86,Terrain,spikes,0.999337,0.200843,-0.000201333,0.00700912,-0.00943226,49.4691,-6.84387e-07,-2.78269e-06,-7.43623e-06
0.86,spikes,plane,0.999245,0.201143,0.0912299,-0.000166887,0.000227881,-0.489698,1.7638e-06,-1.42831e-06,3.80231e-08
0.87,Terrain,spikes,1.00224,0.200791,-0.00019959,-0.0322397,-0.00800083,49.4859,-1.39816e-06,-2.4742e-06,1.60761e-05
0.87,spikes,plane,1.00255,0.200772,0.0912359,0.000752147,0.000177447,-0.489887,2.05827e-06,-1.61513e-06,-5.48645e-07
0.88,Terrain,spikes,0.997247,0.202689,-0.000197999,0.0384946,-0.0367514,49.386,3.40088e-06,-4.59966e-07,-3.25981e-05
0.88,spikes,plane,0.99698,0.202931,0.0912416,-0.000896976,0.0008494,-0.488906,1.98871e-06,-2.06352e-06,1.34854e-06
