trial,target x rel,target y rel,widget dx,widget dy
241,4.5572344,0.6847398,-0.5536262,-1.0008674
241,1.3911485,-2.0204649,-0.5102038,-1.0204077
241,0.7981953,-3.6627399,-3.0833365,-2.0833374
241,-0.62808,-5.2216754,-2.2500144,-2.1666769
241,-0.3877078,-5.6972765,-3.916662,-3.2500114
241,-1.4806744,-5.0895777,-2.5833231,-4.3333112
241,-0.1569522,-3.3985047,-5.0000119,-5.4166854
241,0.833435,-0.6241097,-4.6666769,-6.5000074
241,2.8237865,2.3585813,-5.6666412,-6.7083035
241,3.3141757,3.8413175,-4.1666789,-5.2083486
241,3.4295592,4.1990366,-3.7916732,-4.0833315
241,3.2949376,2.1400841,-3.5416681,-1.6666599
241,2.3926551,-0.5558916,-2.3554476,-0.6054615
241,-0.2820619,-3.2671687,-0.0503018,-0.0503018
241,-2.956779,-5.9784457,-0.0503018,-0.0503019
241,-5.631496,-8.6897228,-0.0503018,-0.0503018
241,-8.3062131,-11.4009999,-0.0503018,-0.0503018
241,-10.98093,-14.112277,-0.0503019,-0.0503018
