trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
4,2.541358,8.2419891,4.7419113,16.7741053,5.2580656,20.5483669,5.0322712,22.1290849,5.6451797,25.8065357,15.0602142,64.7789181
4,5.4687389,12.4999747,2.541358,8.2419891,4.7419113,16.7741053,5.2580656,20.5483669,5.0322712,22.1290849,9.5914753,52.2789434
4,1.9253837,7.2903028,5.4687389,12.4999747,2.541358,8.2419891,4.7419113,16.7741053,5.2580656,20.5483669,7.6660916,44.9886406
4,1.6451701,5.6451571,1.9253837,7.2903028,5.4687389,12.4999747,2.541358,8.2419891,4.7419113,16.7741053,6.0209215,39.3434835
4,1.9677307,4.7419113,1.6451701,5.6451571,1.9253837,7.2903028,5.4687389,12.4999747,2.541358,8.2419891,4.0531908,34.6015722
4,0.806454,2.419362,1.9677307,4.7419113,1.6451701,5.6451571,1.9253837,7.2903028,5.4687389,12.4999747,3.2467368,32.1822102
4,0.8064481,2.4193441,0.806454,2.419362,1.9677307,4.7419113,1.6451701,5.6451571,1.9253837,7.2903028,2.4402887,29.7628661
4,0.7862929,1.1088703,0.8064481,2.4193441,0.806454,2.419362,1.9677307,4.7419113,1.6451701,5.6451571,1.6539958,28.6539958
4,0.3749958,0.7943553,0.7862929,1.1088703,0.8064481,2.4193441,0.806454,2.419362,1.9677307,4.7419113,1.279,27.8596405
4,0,0.8064497,0.3749958,0.7943553,0.7862929,1.1088703,0.8064481,2.4193441,0.806454,2.419362,1.279,27.0531908
4,0,0.9032439,0,0.8064497,0.3749958,0.7943553,0.7862929,1.1088703,0.8064481,2.4193441,1.279,26.1499469
4,0,3.2257921,0,0.9032439,0,0.8064497,0.3749958,0.7943553,0.7862929,1.1088703,1.279,22.9241548
4,0.6451643,1.9354834,0,3.2257921,0,0.9032439,0,0.8064497,0.3749958,0.7943553,0.6338357,20.9886714
4,0.3548357,1.5846777,0.6451643,1.9354834,0,3.2257921,0,0.9032439,0,0.8064497,0.279,19.4039937
4,0,1.3508029,0.3548357,1.5846777,0.6451643,1.9354834,0,3.2257921,0,0.9032439,0.279,18.0531908
4,0.0645265,0.8709806,0,1.3508029,0.3548357,1.5846777,0.6451643,1.9354834,0,3.2257921,0.2144735,17.1822102
4,1.6128961,2.4193441,0.0645265,0.8709806,0,1.3508029,0.3548357,1.5846777,0.6451643,1.9354834,-1.3984226,14.7628661
4,0.3225774,1.1290304,1.6128961,2.4193441,0.0645265,0.8709806,0,1.3508029,0.3548357,1.5846777,-1.721,13.6338357
4,1.279,1.6338357,0.3225774,1.1290304,1.6128961,2.4193441,0.0645265,0.8709806,0,1.3508029,-3,12
4,0,0,1.279,1.6338357,0.3225774,1.1290304,1.6128961,2.4193441,0.0645265,0.8709806,-3,12
4,0,0,0,0,1.279,1.6338357,0.3225774,1.1290304,1.6128961,2.4193441,-3,12
4,0,0,0,0,0,0,1.279,1.6338357,0.3225774,1.1290304,-3,12
4,0,0,0,0,0,0,0,0,1.279,1.6338357,-3,12
5,0,0,0,0,0,0,0,0,0,0,27.905,-38.095
5,0.4032256,0,0,0,0,0,0,0,0,0,27.5017744,-38.095
5,0.4032256,0,0.4032256,0,0,0,0,0,0,0,27.0985488,-38.095
5,0.6129039,0.8387101,0.4032256,0,0.4032256,0,0,0,0,0,26.4856449,-38.9337101
5,0.8064525,1.1612899,0.6129039,0.8387101,0.4032256,0,0.4032256,0,0,0,25.6791924,-40.095
5,0.8535518,-0.0317437,0.8064525,1.1612899,0.6129039,0.8387101,0.4032256,0,0.4032256,0,24.8256406,-40.0632563
5,1.9841281,-0.7936513,0.8535518,-0.0317437,0.8064525,1.1612899,0.6129039,0.8387101,0.4032256,0,22.8415125,-39.269605
5,1.9841282,-0.7936512,1.9841281,-0.7936513,0.8535518,-0.0317437,0.8064525,1.1612899,0.6129039,0.8387101,20.8573843,-38.4759538
5,3.0491595,-2.897084,1.9841282,-0.7936512,1.9841281,-0.7936513,0.8535518,-0.0317437,0.8064525,1.1612899,17.8082248,-35.5788698
5,4.4838776,-5.2903301,3.0491595,-2.897084,1.9841282,-0.7936512,1.9841281,-0.7936513,0.8535518,-0.0317437,13.3243472,-30.2885397
5,5.5483706,-6.3548188,4.4838776,-5.2903301,3.0491595,-2.897084,1.9841282,-0.7936512,1.9841281,-0.7936513,7.7759766,-23.9337209
5,3.2258169,-4.0322712,5.5483706,-6.3548188,4.4838776,-5.2903301,3.0491595,-2.897084,1.9841282,-0.7936512,4.5501597,-19.9014497
5,1.2701594,-2.0564489,3.2258169,-4.0322712,5.5483706,-6.3548188,4.4838776,-5.2903301,3.0491595,-2.897084,3.2800003,-17.8450008
5,1.2800003,0.1549992,1.2701594,-2.0564489,3.2258169,-4.0322712,5.5483706,-6.3548188,4.4838776,-5.2903301,2,-18
5,0,0,1.2800003,0.1549992,1.2701594,-2.0564489,3.2258169,-4.0322712,5.5483706,-6.3548188,2,-18
5,0,0,0,0,1.2800003,0.1549992,1.2701594,-2.0564489,3.2258169,-4.0322712,2,-18
5,0,0,0,0,0,0,1.2800003,0.1549992,1.2701594,-2.0564489,2,-18
5,0,0,0,0,0,0,0,0,1.2800003,0.1549992,2,-18
6,0,0,0,0,0,0,0,0,0,0,145.842,125.842
6,0.4807695,0.320513,0,0,0,0,0,0,0,0,145.3612305,125.521487
6,0.4807696,0.320513,0.4807695,0.320513,0,0,0,0,0,0,144.8804609,125.200974
6,0.4807695,0.3205131,0.4807696,0.320513,0.4807695,0.320513,0,0,0,0,144.3996914,124.8804609
6,0.4807696,0.320513,0.4807695,0.3205131,0.4807696,0.320513,0.4807695,0.320513,0,0,143.9189218,124.5599479
6,0.4807695,0.320513,0.4807696,0.320513,0.4807695,0.3205131,0.4807696,0.320513,0.4807695,0.320513,143.4381523,124.2394349
6,0.4807695,0.3205131,0.4807695,0.320513,0.4807696,0.320513,0.4807695,0.3205131,0.4807696,0.320513,142.9573828,123.9189218
6,21.5670148,19.0769387,0.4807695,0.3205131,0.4807695,0.320513,0.4807696,0.320513,0.4807695,0.3205131,121.390368,104.8419831
6,28.1734065,25.8125195,21.5670148,19.0769387,0.4807695,0.3205131,0.4807695,0.320513,0.4807696,0.320513,93.2169615,79.0294636
