trial,target r,target y,target x,iteration,time,widget x,widget y
32,10,258,140,2,0.1,478.436225563,280.032999992
32,10,258,140,3,0.15,477.22654575,280.032999992
32,10,258,140,4,0.2,468.782991424,280.032999992
32,10,258,140,5,0.25,432.032999993,276.032999993
32,10,258,140,6,0.3,368.549100099,266.516866048
32,10,258,140,7,0.35,309.564210412,256.15799366
32,10,258,140,8,0.4,280.35554908,250.613637264
32,10,258,140,9,0.45,253.162029472,249.032999992
32,10,258,140,10,0.5,225.814214137,249.032999992
32,10,258,140,11,0.55,217.807192449,249.032999992
32,10,258,140,12,0.6,213.000716474,249.710427832
32,10,258,140,13,0.65,201.839443418,252.871711307
32,10,258,140,14,0.7,193.194289918,255.032999992
32,10,258,140,15,0.75,187.968473443,255.032999992
32,10,258,140,16,0.8,183.452342724,255.032999992
32,10,258,140,17,0.85,178.129762873,255.032999992
32,10,258,140,18,0.9,173.355577363,255.032999992
32,10,258,140,19,0.95,167.678154733,255.032999992
32,10,258,140,20,1.0,158.936210169,255.000736718
32,10,258,140,21,1.05,154.097507041,254.032999992
32,10,258,140,22,1.1,149.774934881,253.032999992
32,10,258,140,23,1.15,147.345497571,253.032999992
32,10,258,140,24,1.2,145.944290259,253.032999992
32,10,258,140,25,1.25,144.734613547,253.032999992
32,10,258,140,26,1.3,145,254
32,10,258,140,27,1.35,145,254
32,10,258,140,28,1.4,145,254
32,10,258,140,29,1.45,145,254
32,10,258,140,30,1.5,145,254
33,40,254,578,0,0.0,512.032000065,205.032000065
33,40,254,578,1,0.05,515.257800496,206.107266875
33,40,254,578,2,0.1,519.161008009,207.709404832
33,40,254,578,3,0.15,536.03193748,216.531968772
33,40,254,578,4,0.2,557.48357362,229.806166372
33,40,254,578,5,0.25,570.161022399,238.193277983
33,40,254,578,6,0.3,575,244
33,40,254,578,7,0.35,575,244
33,40,254,578,8,0.4,575,244
33,40,254,578,9,0.45,575,244
33,40,254,578,10,0.5,575,244
34,60,316,278,0,0.0,125.06400013,248.06400013
34,60,316,278,1,0.05,129.902706979,248.06400013
34,60,316,278,2,0.1,157.626547627,263.345273878
34,60,316,278,3,0.15,220.579954106,293.612305057
34,60,316,278,4,0.2,267.547876059,314.838195464
34,60,316,278,5,0.25,291.095247801,321.06400013
34,60,316,278,6,0.3,293,322
34,60,316,278,7,0.35,293,322
34,60,316,278,8,0.4,293,322
34,60,316,278,9,0.45,293,322
34,60,316,278,10,0.5,293,322
35,67,267,164,0,0.0,549.877000093,332.877000093
35,67,267,164,1,0.05,547.264099299,332.877000093
35,67,267,164,2,0.1,544.783242177,332.877000093
35,67,267,164,3,0.15,527.167383408,332.877000093
35,67,267,164,4,0.2,470.618922677,316.231834238
35,67,267,164,5,0.25,371.75215842,293.81450475
35,67,267,164,6,0.3,292.393182615,291.877000093
35,67,267,164,7,0.35,254.618924661,294.32861518
35,67,267,164,8,0.4,243.522159796,295.877000093
35,67,267,164,9,0.45,240.199579945,295.877000093
35,67,267,164,10,0.5,226.780232599,295.877000093
35,67,267,164,11,0.55,223.559539139,295.877000093
35,67,267,164,12,0.6,221.747962377,295.877000093
35,67,267,164,13,0.65,213.683449722,296.715710168
35,67,267,164,14,0.7,206.522167487,296.877000093
35,67,267,164,15,0.75,205,298
35,67,267,164,16,0.8,205,298
35,67,267,164,17,0.85,205,298
35,67,267,164,18,0.9,205,298
35,67,267,164,19,0.95,205,298
36,18,176,464,0,0.0,100.876999855,196.876999855
36,18,176,464,1,0.05,100.876999855,197.276999855
36,18,176,464,2,0.1,100.876999855,197.676999855
36,18,176,464,3,0.15,110.554450768,200.296362583
36,18,176,464,4,0.2,170.231846305,200.876999855
36,18,176,464,5,0.25,266.09566813,186.595768715
36,18,176,464,6,0.3,327.780246948,174.199577225
36,18,176,464,7,0.35,366.070573349,169.651192312
36,18,176,464,8,0.4,393.941520747,168.876999855
36,18,176,464,9,0.45,410.812485115,168.876999855
36,18,176,464,10,0.5,424.070534845,168.876999855
