#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
15.278,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	7,	0.0365941,	-0.00643163,	1.24993,	0.126678,	-0.00265051,	-0.988796,	-373.623,	15.64,	-1293.91,	11.726,	-75.1745,	-4.28822
15.28,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0511932,	-0.020959,	1.20374,	-0.0078524,	0.999963,	-0.00361727,	33.833,	631.652,	46.9757,	-50.7757,	3.04907,	-4.25564
15.28,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0341488,	0.0130945,	1.24836,	0.841916,	0.00473441,	-0.51885,	477.031,	-3.68102,	155.225,	3.49858,	62.6229,	-9.26693
15.28,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0438611,	0.016443,	1.24962,	0.0161432,	-0.00349014,	-0.999864,	-409.666,	-4.59194,	-841.782,	-14.35,	-63.6421,	7.07762
15.28,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0339103,	-0.010052,	1.24773,	0.964172,	0.00661752,	-0.263675,	119.076,	4.5452,	-8.04571,	-0.442147,	14.4201,	1.60245
15.28,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0362609,	-0.00572163,	1.2498,	0.180149,	-0.00212599,	-0.978781,	-356.418,	12.9178,	-1223.87,	9.53615,	-72.0761,	-3.96214
15.281,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0421878,	0.0286167,	1.20195,	0.00788529,	-0.999962,	0.00364294,	-5.80366,	-37.5514,	37.6511,	3.83294,	0.191151,	0.781466
15.281,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0512299,	-0.0210062,	1.2041,	-0.00790568,	0.999962,	-0.00360513,	44.2797,	615.143,	38.49,	-49.504,	3.81193,	-3.79701
15.282,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0341221,	0.0105867,	1.24849,	0.812579,	0.00441527,	-0.557231,	464.331,	-7.87126,	156.09,	1.92834,	61.0397,	-2.65816
15.282,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0436281,	0.0164283,	1.24968,	0.0166737,	-0.00347292,	-0.999855,	-389.746,	-9.6022,	-826.707,	-13.4608,	-61.0796,	6.79586
15.282,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	6,	0.0338271,	-0.0100149,	1.2477,	0.964507,	0.00667909,	-0.262475,	156.263,	5.62472,	-18.0015,	-0.431548,	18.7381,	2.10874
15.282,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.036236,	-0.00576834,	1.24977,	0.163146,	-0.00225207,	-0.982425,	-391.663,	11.8597,	-1206.95,	9.80942,	-76.0331,	-4.27437
15.283,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0510716,	-0.0210184,	1.20465,	-0.00795459,	0.999962,	-0.00360936,	38.7533,	597.04,	20.6819,	-47.8953,	3.24434,	-3.70942
15.283,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	6,	0.0337518,	0.0106868,	1.24802,	0.911026,	0.00576124,	-0.411658,	411.768,	-6.86217,	152.844,	1.78552,	54.4891,	-2.36385
